word,sentiment
бессвязица,отрицательный
бессвязный,отрицательный
бессилие,отрицательный
бесславная,отрицательный
бесславный,отрицательный
бесславным,отрицательный
бессмертный,положительный
бессмысленно,отрицательный
бессмысленность,отрицательный
бессмысленный,отрицательный
бессмыслие,отрицательный
бессмыслица,отрицательный
бессовестно,отрицательный
бессовестный,отрицательный
бессодержательное,отрицательный
бессодержательный,отрицательный
бессознательном,отрицательный
бесспорно,положительный
бесспорное,положительный
бесспорный,отрицательный
бесспорный,положительный
бесспорным,положительный
бессрочный,нейтральный
бесстрашно,положительный
бесстрашный,положительный
бесстыдный,отрицательный
бессюжетный,отрицательный
бестактный,отрицательный
бесталанность,отрицательный
бестолковость,отрицательный
бестолковый,отрицательный
бестолочь,отрицательный
бестревожный,положительный
бестселлером,положительный
бесхитростный,отрицательный
бесхитростный,положительный
бесхмельный,положительный
бесхозяйственность,отрицательный
бесхребетность,отрицательный
бесхребетный,отрицательный
бесцветный,отрицательный
бесцельно,отрицательный
бесцельный,отрицательный
бесцельным,отрицательный
бесценная,положительный
бесценное,положительный
бесценный,положительный
бесцеремонно,отрицательный
бесчестие,отрицательный
бесчестная,отрицательный
бесчестно,отрицательный
бесчестный,отрицательный
бесчестье,отрицательный
бесчинства,отрицательный
бесчинство,отрицательный
бесчувственный,отрицательный
бесшовные,положительный
бесшумно,положительный
бесшумные,положительный
бесшумный,положительный
бешенство,отрицательный
бешеный,отрицательный
биржевой,нейтральный
биржевые,нейтральный
битая,отрицательный
битва,отрицательный
битный,отрицательный
битый,отрицательный
бить,отрицательный
биться,отрицательный
бич,отрицательный
благими намерениями,положительный
благо,положительный
благоволение,положительный
благоговение,положительный
благоговением,положительный
благоговенно,положительный
благоговеть,положительный
благодарна,положительный
благодарно,положительный
благодарность,положительный
благодарны,положительный
благодарный,положительный
благодаря мерам,положительный
Благодаря приобретению,положительный
благодатный,положительный
благодать,положительный
благоденствие,положительный
благодетель,положительный
благодетельный,положительный
благожелательный,положительный
благозвучный,положительный
благой,положительный
благополучие,положительный
благополучию,положительный
благополучия,положительный
благополучно,положительный
благополучный,положительный
благополучных,положительный
благоприятная,положительный
благоприятно,положительный
благоприятного,положительный
благоприятную динамику,положительный
благоприятные,положительный
благоприятные тенденции,положительный
благоприятный,положительный
благоприятствования,положительный
благоразумие,положительный
благоразумием,положительный
благоразумная,положительный
благоразумный,положительный
благородно,положительный
благородного,положительный
благородный,положительный
благородство,положительный
благосклонно,положительный
благосклонность,положительный
благосклонностью,положительный
благословение,положительный
благословением,положительный
благослови,положительный
благосостояние,положительный
благость,положительный
благотворительные,положительный
благотворительный,положительный
благотворно,положительный
благотворность,положительный
благотворный,положительный
благоустройство,положительный
благочестие,положительный
благочестия,положительный
блаженно,положительный
Блаженного,положительный
блаженный,положительный
блаженство,положительный
блаженством,положительный
блевать,отрицательный
блевотина,отрицательный
бледно,отрицательный
бледность,отрицательный
бледностью,отрицательный
бледный,отрицательный
бледный,положительный
блеклый,отрицательный
блёклый,отрицательный
блеск,положительный
блеска,положительный
блеском,положительный
блеску,положительный
блестит,положительный
блестящая,положительный
блестяще,положительный
блестящее,положительный
блестящий,положительный
блестящим,положительный
блеф,отрицательный
блефовал,отрицательный
блефовать,отрицательный
ближайший,положительный
ближний,отрицательный
близкие отношения,нейтральный
близкий,отрицательный
близкий,положительный
близко,нейтральный
близлежащий,отрицательный
близость,положительный
блин,нейтральный
блистательный,положительный
блок,отрицательный
блокада,отрицательный
блокбастер,положительный
блокировать,отрицательный
блокировка,отрицательный
блокировка активов,отрицательный
блудить,отрицательный
блуждающий,отрицательный
богатая,положительный
богатенький,положительный
богатеть,положительный
богато,положительный
богатстве,положительный
богатство,положительный
богатые,положительный
богатый,положительный
богатым,положительный
богатых,положительный
богаче,положительный
Богом,положительный
богоподобный,положительный
богослов,положительный
боготворил,положительный
боготворить,положительный
боготворят,положительный
бодрая,положительный
бодренький,положительный
бодро,положительный
бодрый,положительный
бодрящего,положительный
бодрящий,положительный
боевая,отрицательный
боевое,отрицательный
боевое ранение,отрицательный
боевой,отрицательный
боец,отрицательный
боец,положительный
божественная,положительный
божественно,положительный
божественный,положительный
божество,положительный
божий,положительный
бой,отрицательный
бойкий,положительный
бойко,положительный
бойкот,отрицательный
бойкота,отрицательный
бойкотировать,отрицательный
бойкоты,отрицательный
болван,отрицательный
более,нейтральный
более высокие цены,отрицательный
"более высокие, чем ожидалось",положительный
"более высокие, чем ожидалось, доходы",положительный
более низкую выручку,отрицательный
более рискованный,отрицательный
болезненно,отрицательный
болезненный,отрицательный
болезни,отрицательный
болезнь,отрицательный
болел,отрицательный
болеть,отрицательный
боли,отрицательный
болото,отрицательный
болтать,отрицательный
болтаться,отрицательный
болтовня,отрицательный
боль,отрицательный
больно,отрицательный
больное,отрицательный
больной,отрицательный
больной,положительный
больные,отрицательный
больше,положительный
больше расширить свое присутствие,положительный
больше рейсов ,положительный
больший,положительный
большинства,положительный
большинство,положительный
большой,положительный
большой емкости,положительный
бомба,отрицательный
бомба,положительный
бомбардировка,отрицательный
бомбежка,отрицательный
бомбежки,отрицательный
бомбить,отрицательный
бомж,отрицательный
бомжеватый,отрицательный
бомжевать,отрицательный
бомжи,отрицательный
бонус,положительный
бонусная,положительный
бонусное,положительный
бонусный,положительный
бонусов,положительный
бонусы,положительный
борется,отрицательный
бороться,отрицательный
ботаник,нейтральный
боязливая,отрицательный
боязливое,отрицательный
боязливый,отрицательный
боязно,отрицательный
боязнь,отрицательный
бояться,отрицательный
бояться,положительный
Браво,положительный
брак,отрицательный
бракованый,отрицательный
браковать,отрицательный
браковка,отрицательный
бранить,отрицательный
браниться,отрицательный
братский,положительный
брать силой,отрицательный
бред,отрицательный
бредил,отрицательный
бредить,отрицательный
бредовое,отрицательный
бредовость,отрицательный
бредовый,отрицательный
бредятин,отрицательный
брезгливость,отрицательный
брезгливый,отрицательный
бремя,отрицательный
брести,положительный
брехать,отрицательный
брехня,отрицательный
брешь,отрицательный
Бриз,положительный
бриллиант,положительный
бритва,положительный
бродил,отрицательный
бродить,отрицательный
бродяга,отрицательный
бродячий,отрицательный
бронзовый,нейтральный
бросить,отрицательный
бросовый,отрицательный
брошенный,отрицательный
бррр,отрицательный
